"time"	"y1"	"y2"
"1"	0	103.828399760788	100.518587793175
"2"	0.1	101.840968062357	91.9133856242803
"3"	0.2	101.668529838562	102.195246030402
"4"	0.3	102.397912778422	90.2924191055899
"5"	0.4	101.64716545589	96.7301882010232
"6"	0.5	103.363667953736	95.9554706959505
"7"	0.6	100.891640454833	97.83173069733
"8"	0.7	103.52563320059	107.355918448737
"9"	0.8	104.386899617773	107.766131961302
"10"	0.9	102.1314949918	111.193327545265
"11"	1	104.033211757679	109.740047843789
"12"	1.1	104.890638916968	100.874404223552
"13"	1.2	104.098594764203	106.579391639136
"14"	1.3	104.089310924781	117.434529376624
"15"	1.4	103.339365685913	105.736242179836
"16"	1.5	104.899590434271	107.459037704227
"17"	1.6	102.983750675297	100.478608037467
"18"	1.7	106.129192256536	112.582615920436
"19"	1.8	105.156606529491	110.133189933823
"20"	1.9	107.632358005271	102.969978942147
"21"	2	104.730686339334	114.730297587103
"22"	2.1	105.746648657351	96.0173834764567
"23"	2.2	108.575105012337	94.2485173316425
"24"	2.3	106.318998099451	101.820006997007
"25"	2.4	105.21409829152	112.577275736447
"26"	2.5	106.447256500754	118.651359212842
"27"	2.6	107.512394829751	108.089453023235
"28"	2.7	110.68632974514	99.0296111892118
"29"	2.8	108.251583590525	109.947312396164
"30"	2.9	105.849192987231	96.9812420964659
"31"	3	108.539592723572	110.536857913012
"32"	3.1	109.632655734598	99.0311491628481
"33"	3.2	110.444190893359	93.4860174167453
"34"	3.3	110.509502838154	107.403121659078
"35"	3.4	107.936354468608	102.202820059231
"36"	3.5	110.499458667782	119.217296340673
"37"	3.6	110.577384177933	111.010997099599
"38"	3.7	111.951105139071	106.730302636108
"39"	3.8	110.297935130313	106.75940598609
"40"	3.9	110.622839072651	109.269840669028
"41"	4	109.697824221011	113.544431692018
"42"	4.1	112.651848730086	111.879718374346
"43"	4.2	110.760274375676	108.466783638402
"44"	4.3	112.60383795655	99.7029415336304
"45"	4.4	111.077948568878	97.7862317325998
"46"	4.5	110.851167437797	100.671421789933
"47"	4.6	111.777425313074	100.730673215675
"48"	4.7	110.783474592312	99.7664738426011
"49"	4.8	110.964198395638	106.017929236544
"50"	4.9	112.577215820762	88.4376188865763
"51"	5	111.223626443125	98.3953731505371
